claim_id,root_claim,claim_variants,category,all_pages,occurrence_count,template_generated,visible_context_summary,existing_evidence_files,evidence_level,evidence_limitations,conflicting_values,decision_class,risk_level,business_importance,recommended_action,safe_replacement_draft,required_user_answer,required_evidence,can_change_in_phase_1c,manual_approval_required
P1B-011,Precise 48-hour leakage case claims,"Within 48 hours, air leaks at 0.3 MPa from the seal interface. || Within 48 hours, air leaks at 0.3 MPa. || The AL6061 flange face warps by 0.08 mm, creating a leak path that sprays air at 0.8 MPa within 48 hours. || Within 48 hours, air bleeds from passage 3 into passage 5, causing pressure interference and dropped workpieces. || Within 48 hours, air leaks at 0.4 MPa. || Within 48 hours, the seal leaks at 6 MPa.",B,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0002.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-4P-30-0001.html; BP-8P-0001.html,8,yes,"Phase 1A source IDs: HR-017; HR-018; HR-109; HR-122; HR-123; HR-124. || BP-1P-0003.html: Mistake 1: Overtightening the threaded connection || The #1 cause of BP-1P-0003 warranty claims is overtightening. A technician uses a pipe wrench and applies 25 N·m on a G1/4 thread rated for 8–12 N·m. The housing distorts, compressing the PTFE seal unevenly. Within 48 hours, air leaks at 0.3 MPa. The technician blames the seal quality and requests a replacement — but the root cause was installation torque. Rule: Use a torque wrench. Hand-tighten plus 1/4 turn maximum. For G1/4: 8–12 N·m. For G1/8: 5–8 N·m. || Mistake 2: Using it for 2-passage applications || BP-1P-0006.html: Mistake 1: Overtightening the G1/8 threaded connection || The #1 cause of BP-1P-0006 warranty claims is overtightening. A technician uses a pipe wrench and applies 20 N·m on a G1/8 thread rated for 8–12 N·m. The lightweight AL6061 housing distorts, compressing the PTFE seal unevenly. Within 48 hours, air leaks at 0.3 MPa from the seal interface. The technician blames seal quality and requests a replacement — but the root cause was installation torque. Rule: Use a torque wrench. Hand-tighten plus 1/4 turn maximum. For G1/8: 8–12 N·m. If the housing flexes, stop immediately. || Mistake 2: Expecting independent pressure per outlet || BP-2P-0002.html: Mistake 1: Overtightening the G1/8 threaded connection || The #1 cause of BP-2P-0002 warranty claims is overtightening. A technician uses a pipe wrench and applies 20 N·m on a G1/8 thread rated for 8–12 N·m. The lightweight AL6061 housing distorts, compressing the PTFE seal unevenly. Within 48 hours, air leaks at 0.3 MPa from the seal interface. The technician blames seal quality and requests a replacement — but the root cause was installation torque. Rule: Use a torque wrench. Hand-tighten plus 1/4 turn maximum. For G1/8: 8–12 N·m. If the housing flexes, stop immediately. || Mistake 2: Treating all three outlets as independent pressure zones || BP-2P-95-0001.html: Mistake 2: Running at 10 MPa without 25-micron filtration || A hydraulic system builder installs BP-2P-95-0001 on a 10 MPa rotary table but uses the machine's standard 100-micron return filter. A 50-micron particle enters the joint, embeds in the PTFE seal, and scores the steel shaft. Within 48 hours, the seal leaks at 6 MPa. The builder replaces the seal, but the same thing happens because the filtration never changes. Rule: At 10 MPa, always use 25-micron absolute filtration on the supply line. The cost of a $40 filter element is negligible compared to a $200 seal kit and 4 hours of downtime. || Mistake 3: Using it as 4 independent inlets instead of 2-in-4-out distribution || Template/variant also appears on 4 additional listed page(s).",images/report-fracture-closeup.jpg; images/report-fracture-installation.jpg,E2,"The photos show installed/damaged hardware but contain no model, customer, date, operating conditions, timeline, or causal test record.",,K5,critical,high,Pause the exact public statement; use only a bounded draft after manual approval.,"Draft: Incorrect installation or operation outside the specified limits can cause premature leakage; the failure timing depends on load, medium, temperature, alignment, and duty cycle.",Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-012,BP-2P-95-0001 10 MPa and 200 RPM operating-envelope claims,"(3) Your speed exceeds 200 RPM at 10 MPa — specify a low-friction seal and high-speed bearing variant. || 2-in-4-out distribution, 5–10 MPa hydraulic, heavy rotary table ✅ Perfect — 10 MPa, 200 RPM, 162 mm OD — — || 200 RPM suits high-speed rotary tables even at 10 MPa: Unlike slow heavy-duty joints limited to 50 RPM, BP-2P-95-0001 maintains 200 RPM for fast-indexing hydraulic tables || Both versions have identical pressure (10 MPa), speed (200 RPM), and temperature (-20°C to +80°C) ratings. || Speed >200 RPM at 10 MPa ❌ Over speed rating Custom high-speed hydraulic Special low-friction seal and bearing for 500 RPM at 10 MPa || Speeds above 200 RPM at maximum pressure — the PTFE seal friction torque rises with both speed and pressure; at 10 MPa and 200 RPM, seal temperature exceeds 80°C. || Upgrade to a custom design when your application exceeds the 2-in-4-out, 10 MPa, 200 RPM envelope. || BP-2P-95-0001 2-in-4-out 10 MPa 200 RPM Flange mount AL6061 + 45# steel Heavy-duty hydraulic-assisted fixtures, high-pressure rotary transfer View",D,BP-2P-95-0001.html; product-comparison.html,8,yes,"Phase 1A source IDs: HR-019; HR-022; HR-023; HR-052; HR-099; HR-100; HR-120; HR-128. || BP-2P-95-0001.html: 8-M5 + 2-M10 flange secures against 10 MPa reaction forces: The ten-bolt pattern prevents flange lift and gasket blowout under hydraulic shock loads common in stamping and molding || 200 RPM suits high-speed rotary tables even at 10 MPa: Unlike slow heavy-duty joints limited to 50 RPM, BP-2P-95-0001 maintains 200 RPM for fast-indexing hydraulic tables || Technical Specifications || product-comparison.html: 1 MPa || 500 RPM || Threaded",downloads/BP-2P-95-0001.pdf; downloads/Begapunk_Rotary_Joint_Installation_Manual.pdf,E3,"The PDF filename says BP-2P-95-0001, but its internal title is BP-2P-95-0005 and states 1 MPa, so it cannot validate the webpage's 10 MPa claim. The manual is identifiable and dated, but it does not validate every exact failure time or performance outcome used on webpages.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,Draft: Operating limits for BP-2P-95-0001 are pending confirmation against the approved model drawing and pressure-speed operating envelope.,"Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-013,"Cumulative 200,000-unit production claims","200,000 Units Milestone || Cumulative production exceeded 200,000 units.",C,about.html,2,no,"Phase 1A source IDs: HR-024; HR-057. || about.html: Launched dedicated custom engineering team. Delivered first multi-channel (6-passage) rotary joint for wind turbine application. || 200,000 Units Milestone || Cumulative production exceeded 200,000 units. Active customers in 40+ countries. Free 3D file program launched.",none found,E1,"No dated ERP, invoice, shipment export, or counting-method record was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,medium,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,Draft: Cumulative shipment volume will be stated with an approved counting method and an explicit reporting date.,"Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-014,Custom flange and seal-option lead-time additions,"Custom flanges with different P.C.D., hole count, or thickness are available upon request with a 5–7 day custom lead time. || Both options add 5–7 days to lead time. || Custom flange patterns (e.g., 3-M6 or 6-M4) are available as special orders with 5–7 day additional lead time. || Custom flange patterns (e.g., 8-M5 or 4-M6) are available as special orders with 5–7 day additional lead time. || Custom flange patterns are available as special orders with 5–7 day additional lead time. || Custom flange patterns are available as special orders with 7–10 day additional lead time. || The Si3N4 option adds 5–7 days lead time and is recommended only for abrasive or high-wear environments.",B,BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,8,yes,"Phase 1A source IDs: HR-015; HR-051; HR-059; HR-060; HR-061; HR-062; HR-118. || BP-2P-16-0001.html: ✅ Perfect — 4-M5 flange, 0.45 kg || — || — || BP-2P-30-0001.html: ✅ Perfect — ball bearing, 1.23 kg || — || — || BP-2P-50-0001.html: ✅ Perfect — IP65, 4.26 kg, 6-M5 || — || — || BP-2P-95-0001.html: ✅ Perfect — 10 MPa, 200 RPM, 162 mm OD || — || — || Template/variant also appears on 2 additional listed page(s).",none found,E1,"The claim is repeated on webpages, which is not independent evidence.","See cross-page-fact-conflicts.csv for differing values, scopes, or source-document mismatches.",K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Lead time is confirmed with each quotation and depends on model, quantity, customization, and destination.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-015,PTFE seal fixed replacement intervals,Continuous rotation (PTFE seals): Replace every 10–12 months || Food-grade PTFE seals: Replace every 10–12 months on continuous-duty lines || PTFE seals: Replace every 10–12 months on continuous-duty lines,B,application-automation-rotary-tables.html; application-bottle-filling-capping.html; application-packaging-machinery.html,3,yes,"Phase 1A source IDs: HR-056; HR-078; HR-095. || application-automation-rotary-tables.html: Indexing tables (FKM seals): Replace every 8–10 months on continuous-duty lines || Continuous rotation (PTFE seals): Replace every 10–12 months || High-cycle lines (>200 RPM, 24/7): Replace every 6–8 months || application-bottle-filling-capping.html: Food-grade FKM seals: Replace every 6 months (audit requirement) || Food-grade PTFE seals: Replace every 10–12 months on continuous-duty lines || Steam sterilization lines: Replace every 6 months regardless of visible wear (thermal fatigue) || application-packaging-machinery.html: FKM seals: Replace every 6–8 months on continuous-duty lines || PTFE seals: Replace every 10–12 months on continuous-duty lines || Food-grade lines: Replace every 6 months regardless of visible wear (audit requirement)",none found,E1,"The claim is repeated on webpages, which is not independent evidence.",,K3,medium,high,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,"Draft: Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, speed, and observed wear; establish the interval from the documented application conditions.",Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-016,FKM and food-line fixed replacement intervals,FKM seals: Replace every 6–8 months on continuous-duty lines || Food-grade FKM seals: Replace every 6 months (audit requirement) || Food-grade lines: Replace every 6 months regardless of visible wear (audit requirement) || Indexing tables (FKM seals): Replace every 8–10 months on continuous-duty lines || Steam sterilization lines: Replace every 6 months regardless of visible wear (thermal fatigue),B,application-automation-rotary-tables.html; application-bottle-filling-capping.html; application-packaging-machinery.html,5,yes,"Phase 1A source IDs: HR-074; HR-076; HR-077; HR-084; HR-108. || application-automation-rotary-tables.html: Do not wait for visible leaks or channel cross-contamination. Schedule seal replacement based on cycle count: || Indexing tables (FKM seals): Replace every 8–10 months on continuous-duty lines || Continuous rotation (PTFE seals): Replace every 10–12 months || application-bottle-filling-capping.html: Do not wait for visible leaks. Schedule seal replacement based on cycle count, not calendar time: || Food-grade FKM seals: Replace every 6 months (audit requirement) || Food-grade PTFE seals: Replace every 10–12 months on continuous-duty lines || application-packaging-machinery.html: BP-2P-0001 or BP-3P-0004 || Indexing table || Clamp, release, and blow-off",none found,E1,"The claim is repeated on webpages, which is not independent evidence.",,K3,medium,high,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,"Draft: Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, speed, and observed wear; establish the interval from the documented application conditions.",Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-017,High-cycle fixed replacement intervals,"High-cycle lines (24/7, 60 cycles/min): Replace every 6–8 months || High-cycle lines (>200 RPM, 24/7): Replace every 6–8 months || High-frequency line (2 shifts, 1,000+ cycles/day): Replace every 5–6 months || Standard duty (8-hour shift, 30 cycles/min): Replace every 10–12 months",B,application-automation-rotary-tables.html; application-pneumatic-tools-hose-anti-twist.html; application-robot-end-of-arm-tooling.html,4,yes,"Phase 1A source IDs: HR-080; HR-081; HR-082; HR-102. || application-automation-rotary-tables.html: Continuous rotation (PTFE seals): Replace every 10–12 months || High-cycle lines (>200 RPM, 24/7): Replace every 6–8 months || Keep replacement seal kits at the workstation. A 15-minute seal change becomes a 2-hour job if the technician must walk to central stores and discover the wrong part number. || application-pneumatic-tools-hose-anti-twist.html: 8-hour shift, 400–600 cycles/day: Replace every 8–10 months || High-frequency line (2 shifts, 1,000+ cycles/day): Replace every 5–6 months || Maintenance or occasional use: Inspect every 12 months, replace every 18–24 months || application-robot-end-of-arm-tooling.html: Robot downtime costs $500–$2,000 per hour in lost production. Do not wait for leaks. Schedule seal replacement based on cycle count: || Standard duty (8-hour shift, 30 cycles/min): Replace every 10–12 months || High-cycle lines (24/7, 60 cycles/min): Replace every 6–8 months",none found,E1,"The claim is repeated on webpages, which is not independent evidence.",,K3,medium,high,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,"Draft: Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, speed, and observed wear; establish the interval from the documented application conditions.",Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-018,"5,000-hour seals predicted to fail in 6-8 weeks","Standard duty seals rated for 5,000 hours will fail in 6–8 weeks under this load. || Standard FKM seals rated for 5,000 hours fail in 6–8 weeks. || Standard FKM seals rated for 5,000 hours will fail in 6–8 weeks. || Standard seals rated for 5,000 hours fail in 6–8 weeks under this load.",B,application-packaging-machinery.html,4,no,"Phase 1A source IDs: HR-103; HR-104; HR-105; HR-107. || application-packaging-machinery.html: Who this is for: Packaging machinery OEMs, automation engineers, and maintenance managers specifying pneumatic rotary components for high-cycle packaging lines. || Packaging machinery runs at 60–200 RPM for 16–24 hours per shift. A rotary joint on a rotary sealing head or indexing table rotates 172,800 times per day at 120 RPM continuous duty. Standard seals rated for 5,000 hours fail in 6–8 weeks under this load. The result is not just a leak — it is contaminated product, rejected batches, and unplanned downtime during peak production. || At Begapunk, packaging machinery accounts for roughly 22% of our custom rotary joint inquiries . The most frequent request is not for a catalog model — it is for a compact layout that fits a specific machine envelope, handles both vacuum and compressed air on independent channels, and can be replaced in under 10 minutes without disassembling the turret",images/report-fracture-closeup.jpg; images/report-fracture-installation.jpg,E2,"The photos show installed/damaged hardware but contain no model, customer, date, operating conditions, timeline, or causal test record.",,K5,critical,high,Pause the exact public statement; use only a bounded draft after manual approval.,"Draft: Incorrect installation or operation outside the specified limits can cause premature leakage; the failure timing depends on load, medium, temperature, alignment, and duty cycle.",Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-019,Low-risk 'Best For' table headings,Model Seal Type Pressure RPM Best For || Mount Type Best For Limitations,A,blog-rotary-joint-selection.html; blog-rotary-union-seal-types.html,2,no,Phase 1A source IDs: HR-088; HR-091. || blog-rotary-joint-selection.html: Threaded vs. Flange Mount || Mount Type || Best For || blog-rotary-union-seal-types.html: Friction and Leakage || Seal Type || Friction Coefficient,downloads/Begapunk_Rotary_Joint_Installation_Manual.pdf,E3,"The manual is identifiable and dated, but it does not validate every exact failure time or performance outcome used on webpages.",,K6,low,high,Exclude from the high-risk remediation queue; retain unless normal editorial review identifies a clarity issue.,"Draft: No replacement is required because this is a heading, model identifier, or non-performance statement.",Confirm that this is ordinary navigation or advice rather than a contractual performance promise.,No evidence package required beyond normal source review.,no,yes
P1B-020,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.","We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",E,BP-1P-0003.html; BP-1P-0006.html; BP-2P-0001.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-2P-130-0001.html; BP-2P-16-0001.html; BP-2P-30-0001.html; BP-2P-50-0001.html; BP-2P-95-0001.html; BP-3P-0004.html; BP-3P-0006.html; BP-3P-0007.html; BP-3P-S06-0001.html; BP-4P-30-0001.html; BP-8P-0001.html,16,yes,"Phase 1A source IDs: HR-003. || BP-1P-0003.html: BP-1P-0003 uses BSP parallel (G) threads per ISO 228-1 — G1/4 (standard) or G1/8 (optional). BSP parallel threads seal on a gasket or O-ring at the port face, not on the thread itself. This means PTFE tape on the thread is for sealing only; the mechanical connection is made by the flat face compressing against the mating port. Download the 2D PDF drawing for exact thread dimensions, pitch (1.337 mm for G1/4, 0.907 mm for G1/8), and tolerances. NPT and metric thread options are available as custom orders. || Yes — free 3D STEP and IGES files are provided after you send an inquiry. The file includes both aluminum and steel body variants, G1/4 and G1/8 thread options, and the anti-rotation bracket mounting hole pattern. Use the 3D file to verify clearance, port direction, and thread engagement length in your CAD assembly before ordering. We do not post 3D files publicly to protect our desig || BP-1P-0006.html: BP-1P-0006 uses BSP parallel (G) threads per ISO 228-1 — G1/8 (standard). BSP parallel threads seal on a gasket or O-ring at the port face, not on the thread itself. This means PTFE tape on the thread is for sealing only; the mechanical connection is made by the flat face compressing against the mating port. The rotary joint also has 4× M4 mounting holes on both rotor and stator sides for anti-rotation brackets. Download the 2D PDF drawing for exact thread dimensions, pitch (0.907 mm for G1/8), M4 hole pattern, and tolerances. NPT and metric thread options are available as custom orders. || Yes — free 3D STEP and IGES files are provided after you send an inquiry. The file includes the G1/8 thread option, M4 mounting hole pattern, and the six-outlet port arrangement. Use the 3D file to verify clearance, port direction, and thread engagement length in your CAD assembly before ordering. We  || BP-2P-0001.html: BP-2P-0001 uses a machined flat flange with a bolt circle and through-holes for M6 or M8 bolts (depending on the production batch). The flange face is machined to a flatness of 0.02 mm to ensure gasket sealing. Download the 2D PDF drawing for exact flange OD, bolt circle diameter, hole count, hole diameter, and tolerances. Ensure your equipment mating flange matches before ordering. Custom flange patterns, including metric and imperial bolt circles, are available as custom orders with 10–14 day lead time. || Yes — free 3D STEP and IGES files are provided after you send an inquiry. The file includes the flange mount pattern, dual-passage port arrangement, and both AL6061 and 45# steel component details. Use the 3D file to verify clearance, bolt hole alignment, and port direction in your CAD assembly before ordering. We do not post 3D files publicly to protect our designs, but every qualif || BP-2P-0002.html: BP-2P-0002 uses BSP parallel (G) threads per ISO 228-1 — G1/8 (standard). BSP parallel threads seal on a gasket or O-ring at the port face, not on the thread itself. This means PTFE tape on the thread is for sealing only; the mechanical connection is made by the flat face compressing against the mating port. The rotary joint also has 4× M6 mounting holes on the rotor side and 4× M6 + 2× M8 on the stator side for anti-rotation brackets. Download the 2D PDF drawing for exact thread dimensions, pitch (0.907 mm for G1/8), M6/M8 hole patterns, and tolerances. NPT and metric thread options are available as custom orders. || Yes — free 3D STEP and IGES files are provided after you send an inquiry. The file includes the G1/8 thread option, M6/M8 mounting hole pattern, and the dual-inlet/triple-outlet port arrangement. Use the 3D file to verify clearance, port direction, and thread engagement len || Template/variant also appears on 12 additional listed page(s).",none found,E1,"The claim is repeated on webpages, which is not independent evidence.",,K3,medium,low,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,Draft: Begapunk aims to respond to complete technical inquiries promptly; response time depends on application complexity and the information provided.,Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-021,"AL6061 material traceability, hardness test report, and RoHS compliance certificate.","AL6061 material traceability, hardness test report, and RoHS compliance certificate.",E,BP-1P-0006.html; BP-2P-0002.html; BP-2P-08-0001.html; BP-3P-0004.html; BP-3P-0006.html,5,yes,"Phase 1A source IDs: HR-008. || BP-1P-0006.html: Material Certificate || AL6061 material traceability, hardness test report, and RoHS compliance certificate. Available upon request with order. || BP-1P-0006 vs. Other Begapunk Models || BP-2P-0002.html: Material Certificate || AL6061 material traceability, hardness test report, and RoHS compliance certificate. Available upon request with order. || BP-2P-0002 vs. Other Begapunk Models || BP-2P-08-0001.html: Body Material || AL6061 || Seal Type || BP-3P-0004.html: Material Certificate || AL6061 material traceability, hardness test report, and RoHS compliance certificate. Available upon request with order. || BP-3P-0004 vs. Other Begapunk Models || Template/variant also appears on 1 additional listed page(s).",none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-022,"AL6061 + 45# steel material traceability, hardness test report, and RoHS compliance certificate.","AL6061 + 45# steel material traceability, hardness test report, and RoHS compliance certificate.",C,BP-2P-0001.html; BP-2P-130-0001.html,2,no,"Phase 1A source IDs: HR-014. || BP-2P-0001.html: Body Material || AL6061 + 45# Steel || Seal Type || BP-2P-130-0001.html: Material Certificate || AL6061 + 45# steel material traceability, hardness test report, and RoHS compliance certificate. Available upon request with order. || BP-2P-130-0001 vs. Other Begapunk Models",none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-023,"1.5× rated pressure, 30 minutes, zero leakage pass.","1.5× rated pressure, 30 minutes, zero leakage pass.",A,about.html,1,no,"Phase 1A source IDs: HR-020. || about.html: Pressure Test || 1.5× rated pressure, 30 minutes, zero leakage pass. || Pack & Ship",none found,E1,"No signed test record, calibrated-instrument record, sample size, or acceptance threshold was found. The claim is repeated on webpages, which is not independent evidence.",,K5,critical,high,Pause the exact public statement; use only a bounded draft after manual approval.,Draft: Each unit is checked before shipment using Begapunk's documented test procedure. Acceptance criteria and test conditions are available for the applicable model on request.,Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-024,"45# steel material traceability, hardness test report, and RoHS compliance certificate.","45# steel material traceability, hardness test report, and RoHS compliance certificate.",C,BP-1P-0003.html,1,no,"Phase 1A source IDs: HR-025. || BP-1P-0003.html: Material Certificate || 45# steel material traceability, hardness test report, and RoHS compliance certificate. Available upon request with order. || BP-1P-0003 vs. Other Begapunk Models",none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-025,"8-hour shift, 400–600 cycles/day: Replace every 8–10 months","8-hour shift, 400–600 cycles/day: Replace every 8–10 months",B,application-pneumatic-tools-hose-anti-twist.html,1,no,"Phase 1A source IDs: HR-026. || application-pneumatic-tools-hose-anti-twist.html: Handheld tool swivels wear faster than stationary joints because they experience random angular motion, vibration, and occasional impact. Schedule replacement based on shift count: || 8-hour shift, 400–600 cycles/day: Replace every 8–10 months || High-frequency line (2 shifts, 1,000+ cycles/day): Replace every 5–6 months",none found,E0,No project file beyond the source webpage was found.,,K3,medium,low,Replace the universal or exact outcome with a conditional engineering statement after manual approval.,"Draft: Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, speed, and observed wear; establish the interval from the documented application conditions.",Confirm whether this reflects documented Begapunk experience and identify the applicable operating conditions.,"Application note, field record, or engineering review defining the conditions and limitations.",yes-after-manual-approval,yes
P1B-026,"A rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours.","A rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours.",B,BP-2P-30-0001.html,1,no,"Phase 1A source IDs: HR-027. || BP-2P-30-0001.html: Secure Anti-Rotation || If your model includes an anti-rotation tab, secure it to a fixed bracket with an M4 or M5 screw. Never let the stationary body rotate with the shaft — the supply hoses will twist and the seal will experience reverse torque, accelerating wear. The anti-rotation arm should have 2–3 mm of clearance to allow for axial float during thermal expansion. A rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours. || Connect Supply Lines with Flexible Hose",downloads/BP-1P-0003_参数表.xlsx; downloads/Begapunk_Rotary_Joint_Installation_Manual.pdf,E3,"The spreadsheet repeats an 8,000-hour value for one model but has no author, date, test method, sample size, or approval record. The manual is identifiable and dated, but it does not validate every exact failure time or performance outcome used on webpages.",,K5,critical,low,Pause the exact public statement; use only a bounded draft after manual approval.,"Draft: Remove the exact loss, percentage, or guaranteed outcome until a dated and reviewable case record supports it.",Confirm whether a specific documented test or customer-approved case exists and whether it may be cited publicly.,"Signed test/case record with model, conditions, dates, sample size, method, and approval for public use.",yes-after-manual-approval,yes
P1B-027,"AL6061 + 45# steel material traceability, hardness test report, nickel plating thickness report, and RoHS compliance certificate.","AL6061 + 45# steel material traceability, hardness test report, nickel plating thickness report, and RoHS compliance certificate.",C,BP-2P-95-0001.html,1,no,"Phase 1A source IDs: HR-028. || BP-2P-95-0001.html: Material Certificate || AL6061 + 45# steel material traceability, hardness test report, nickel plating thickness report, and RoHS compliance certificate. Available upon request with order. || BP-2P-95-0001 vs. Other Begapunk Models",none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
P1B-028,"AL6061 aluminum alloy material traceability, anodizing thickness report, Si3N4 ceramic seal composition, and RoHS compliance.","AL6061 aluminum alloy material traceability, anodizing thickness report, Si3N4 ceramic seal composition, and RoHS compliance.",C,BP-4P-30-0001.html,1,no,Phase 1A source IDs: HR-029. || BP-4P-30-0001.html: Body Material || AL6061 Aluminum Alloy || Seal Type,none found,E1,"Drawings may identify material, but no traceability certificate, hardness report, coating report, or RoHS declaration was found. No certificate or declaration file with entity, scope, validity period, and applicable models was found. The claim is repeated on webpages, which is not independent evidence.",,K4,high,high,Do not change the factual value yet; request Begapunk evidence and scope confirmation.,"Draft: Certification information is available for the applicable entity and product scope on request, subject to current-document verification.","Confirm the correct value, scope, reporting date, and whether the supporting document may be cited publicly.",Authoritative dated record owned or approved by Begapunk and mapped to every affected page/model.,yes-after-evidence-and-approval,yes
