"file","git_status","classification","referenced_by_site","contains_possible_secret","recommended_git_action","reason","manual_review_required"
"audit/geo-audit/site-inventory.csv","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit/workspace-baseline/secret-scan-report.md","untracked","C - audit report","not-applicable","no","commit-in-separate-audit-commit","Audit artifact, separated from website runtime baseline","no"
"audit_extracts/about.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"audit_extracts/application-laser-tube-cutting.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"audit_extracts/blog-rotary-joint-selection.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"audit_extracts/BP-1P-0003.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"audit_extracts/faq.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"audit_extracts/index.txt","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"blog.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-rotary-joint-installation-mistakes.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-rotary-joint-leaking.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-rotary-joint-materials.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-rotary-joint-selection.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-rotary-union-seal-types.html","untracked","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-seal-replacement.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"blog-threaded-vs-flange.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-1P-0003.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-1P-0006.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-0002.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-08-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-130-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-16-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-30-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-50-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-2P-95-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-3P-0004.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-3P-0006.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-3P-0007.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-3P-S06-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-4P-30-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"BP-8P-0001.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"case-studies.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"contact.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"CORE-EEAT-Audit-Report.md","ignored-or-untracked","D - temporary or generated","not-applicable","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"css/style.css","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"css/style.css.backup","ignored-or-untracked","D - temporary or generated","not-found-by-static-text-scan","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"css/style.css.bak","ignored-or-untracked","D - temporary or generated","not-found-by-static-text-scan","no","exclude-from-commit","Backup, extraction, cache, or generated working artifact","yes"
"downloads/Begapunk_A4_Horizontal_R2000.dxf","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/Begapunk_A4_Horizontal_Template.dxf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/Begapunk_Rotary_Joint_Installation_Manual.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-1P-0003.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-1P-0003_参数表.xlsx","ignored-or-untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-1P-0006.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-200-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-200-0001-view.pdf","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-0001_draft.pdf","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-0002.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-08-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-130-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-16-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-30-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-50-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-2P-95-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-3P-0004.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-3P-0006.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-3P-0007.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-3P-S06-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-4P-30-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/BP-8P-0001.pdf","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/SJ10-06.pdf","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/SOLIDWORKS_Template_Guide.md","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"downloads/SOLIDWORKS_Template_Manual.md","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"faq.html","modified","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-1-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-2-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-4.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-4.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-4-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/12-IN-3-OUT-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/130-hole-rotary-joint3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/130-hole-rotary-joint3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/16hole.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/16hole.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/1-in-6-out-rotary-joint.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/1-in-6-out-rotary-joint.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/222222.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/222222.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2in2out50hole.PDF.jpg","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint.webp","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-1-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-rotary-joint-2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-rotary-joint-2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint2-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint3-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/2-in-2-out-Rotary-joint-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/30-hole-rotary-joint1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/30-hole-rotary-joint1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out_01_-rotary-joint.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out_01_-rotary-joint.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint1-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint2-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint3-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out01-rotary-joint-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out-M8-rotary-joint-3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out-M8-rotary-joint-3.webp","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out-rotary-joint-1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3-in-3-out-rotary-joint-1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3T-000LYH-3-3.jpg","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/3T-000LYH-3-3.jpg.backup","tracked-clean","D - temporary or generated","not-found-by-static-text-scan","no","retain-existing-tracked; do not add to baseline commit","Backup, extraction, cache, or generated working artifact","yes"
"images/4IN4OUT-2.jpg","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4-in-4-out-rotary-joint-1.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4-in-4-out-rotary-joint-1.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-1.png","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-1.webp","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-1-2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-1-2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-1-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-3-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-4.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-4.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-4-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/4Jin-4Chu-thumbnail.webp","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/8-hole-rotary-joint3.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/8-hole-rotary-joint3.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/8-in-8-out-Rotary-joint.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/8-in-8-out-Rotary-joint.png.backup","tracked-clean","D - temporary or generated","not-found-by-static-text-scan","no","retain-existing-tracked; do not add to baseline commit","Backup, extraction, cache, or generated working artifact","yes"
"images/8-in-8-out-Rotary-joint.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/90-hole-rotary-joint3-2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/90-hole-rotary-joint3-2.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/apple-touch-icon.png","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/apple-touch-icon.webp","untracked","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/Application-of-one-in-one-out-rotary-joint-packaging-machine.jpg","tracked-clean","A - formal website source","yes","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
"images/BEGAPUNK-factory-2.png","tracked-clean","A - formal website source","not-found-by-static-text-scan","no","commit-with-site-baseline","Website page, asset, configuration, search data, download, or runtime source","no"
