claim_id,page,section,original_topic,replacement_topic,topic_preserved,issue,recommended_action,action_taken
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-017,application-automation-rotary-tables.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-017,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-017,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-017,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-025,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-039,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-048,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,Application-specific preventive replacement interval,Condition-based inspection and replacement factors,partial,"The unsafe fixed interval was removed, but the same generic condition-based sentence is repeated across multiple schedule entries, reducing entry-specific engineering meaning.","In a later evidence-backed phase, differentiate inspection triggers by duty pattern, seal configuration, medium, and observed failure mode without inventing fixed life claims.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,Cycle-life guidance and FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-1P-0003.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-1P-0006.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-0002.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-08-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-130-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-16-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-30-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-50-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-95-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-3P-0004.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-3P-0006.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-3P-0007.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-3P-S06-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-4P-30-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-8P-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-026,BP-2P-30-0001.html,Anti-rotation guidance,Anti-rotation guidance,Anti-rotation guidance,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-035,application-robot-end-of-arm-tooling.html,Compact mounting and cable management,Compact mounting and cable management,Compact mounting and cable management,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-036,application-pneumatic-tools-hose-anti-twist.html,Tool inlet mounting position,Tool inlet mounting position,Tool inlet mounting position,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-036,application-pneumatic-tools-hose-anti-twist.html,Tool inlet mounting position,Tool inlet mounting position,Tool inlet mounting position,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-037,application-automation-rotary-tables.html,Combined utilities,Selection boundary for separate versus integrated pneumatic/electrical transfer,Integrated pneumatic/electrical solution capacity guidance,partial,The replacement keeps channel-capacity guidance but weakens the original selection distinction between a separate rotary joint plus slip ring and an integrated solution.,"In a later approved content phase, restate the separate-versus-integrated selection boundary using verified configuration limits.",Recorded only; formal page not modified because it is outside the approved Phase 1C-A.1 correction scope.
P1B-038,application-automation-rotary-tables.html,Combined utilities,Combined utilities,Combined utilities,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-040,BP-3P-0007.html,Product overview,Product overview,Product overview,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-042,blog-rotary-joint-materials.html,Material selection summary,Material selection summary,Material selection summary,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-043,BP-4P-30-0001.html,Flange alignment guidance,Flange alignment guidance,Flange alignment guidance,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-044,blog-threaded-vs-flange.html,Common installation errors table,Common installation errors table,Common installation errors table,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-045,application-pneumatic-tools-hose-anti-twist.html,Handheld tool weight FAQ,Handheld tool weight FAQ,Handheld tool weight FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-050,application-packaging-machinery.html,Application fit,Application fit,Application fit,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-054,BP-2P-95-0001.html,Filtration guidance,Filtration guidance,Filtration guidance,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-055,BP-3P-0004.html,Leakage consequence example,Leakage consequence example,Leakage consequence example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-056,BP-3P-0004.html,Over-pressure example,Over-pressure example,Over-pressure example,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-058,blog-rotary-union-seal-types.html,Seal selection conclusion,Seal selection conclusion,Seal selection conclusion,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-059,faq.html,Seal replacement FAQPage JSON-LD,Seal replacement FAQPage JSON-LD,Seal replacement FAQPage JSON-LD,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-059,faq.html,Seal replacement FAQ,Seal replacement FAQ,Seal replacement FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-2P-130-0001.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
P1B-020,BP-3P-0004.html,3D file FAQ,3D file FAQ,3D file FAQ,yes,,No action required.,Reviewed; no semantic loss identified.
