claim_id,page,line_or_section,exact_claim,claim_category,risk_reason,occurrence_count,duplicate_root_claim,recommended_action,required_evidence,safe_replacement_draft,automatic_change_allowed,manual_approval_required
HR-015,BP-4P-30-0001.html; BP-8P-0001.html,audit extraction; source line not recorded,"Custom flanges with different P.C.D., hole count, or thickness are available upon request with a 5–7 day custom lead time.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,2,"custom flanges with different p.c.d., hole count, or thickness are available upon request with a 5–7 day custom lead time.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-016,about.html; case-studies.html,audit extraction; source line not recorded,Tell us your requirements and we'll provide a quote within 24 hours.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,2,tell us your requirements and we'll provide a quote within 24 hours.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-017,BP-1P-0006.html; BP-2P-0002.html,audit extraction; source line not recorded,"Within 48 hours, air leaks at 0.3 MPa from the seal interface.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,2,"within 48 hours, air leaks at 0.3 mpa from the seal interface.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-018,BP-1P-0003.html; BP-3P-0006.html,audit extraction; source line not recorded,"Within 48 hours, air leaks at 0.3 MPa.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,2,"within 48 hours, air leaks at 0.3 mpa.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-019,BP-2P-95-0001.html,audit extraction; source line not recorded,(3) Your speed exceeds 200 RPM at 10 MPa — specify a low-friction seal and high-speed bearing variant.,D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,(3) your speed exceeds 200 rpm at 10 mpa — specify a low-friction seal and high-speed bearing variant.,Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-020,about.html,line 293,"1.5× rated pressure, 30 minutes, zero leakage pass.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"1.5× rated pressure, 30 minutes, zero leakage pass.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-021,faq.html,audit extraction; source line not recorded,100% pressure tested → Shipped to your door,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,100% pressure tested → shipped to your door,Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-022,BP-2P-95-0001.html,audit extraction; source line not recorded,"2-in-4-out distribution, 5–10 MPa hydraulic, heavy rotary table ✅ Perfect — 10 MPa, 200 RPM, 162 mm OD — —",D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,"2-in-4-out distribution, 5–10 mpa hydraulic, heavy rotary table ✅ perfect — 10 mpa, 200 rpm, 162 mm od — —",Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-023,BP-2P-95-0001.html,audit extraction; source line not recorded,"200 RPM suits high-speed rotary tables even at 10 MPa: Unlike slow heavy-duty joints limited to 50 RPM, BP-2P-95-0001 maintains 200 RPM for fast-indexing hydraulic tables",D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,"200 rpm suits high-speed rotary tables even at 10 mpa: unlike slow heavy-duty joints limited to 50 rpm, {model} maintains 200 rpm for fast-indexing hydraulic tables",Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-024,about.html,line 377,"200,000 Units Milestone",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"200,000 units milestone",Retain only after evidence is indexed; otherwise remove or qualify.,Dated ERP/shipment export and documented counting method.,Report the metric with an as-of date and a documented counting method.,no,yes
HR-025,BP-1P-0003.html,line 374,"45# steel material traceability, hardness test report, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"45# steel material traceability, hardness test report, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-026,application-pneumatic-tools-hose-anti-twist.html,audit extraction; source line not recorded,"8-hour shift, 400–600 cycles/day: Replace every 8–10 months",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"8-hour shift, 400–600 cycles/day: replace every 8–10 months",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-027,BP-2P-30-0001.html,line 350,"A rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"a rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-028,BP-2P-95-0001.html,line 388,"AL6061 + 45# steel material traceability, hardness test report, nickel plating thickness report, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 + 45# steel material traceability, hardness test report, nickel plating thickness report, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-029,BP-4P-30-0001.html,line 366,"AL6061 aluminum alloy material traceability, anodizing thickness report, Si3N4 ceramic seal composition, and RoHS compliance.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 aluminum alloy material traceability, anodizing thickness report, si3n4 ceramic seal composition, and rohs compliance.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-030,BP-2P-50-0001.html,line 386,"AL6061 aluminum material traceability, anodizing thickness report, hardness test, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 aluminum material traceability, anodizing thickness report, hardness test, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-031,BP-8P-0001.html,line 365,"AL6061 aluminum material traceability, anodizing thickness report, PTFE seal composition, and RoHS compliance.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 aluminum material traceability, anodizing thickness report, ptfe seal composition, and rohs compliance.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-032,BP-2P-16-0001.html,line 385,"AL6061 aluminum material traceability, hardness test report, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 aluminum material traceability, hardness test report, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-033,BP-2P-30-0001.html,line 408,"AL6061 aluminum material traceability, hardness test report, bearing specification sheet, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 aluminum material traceability, hardness test report, bearing specification sheet, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-034,BP-3P-S06-0001.html,line 406,"AL6061 material traceability, anodizing thickness report, hardness test, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 material traceability, anodizing thickness report, hardness test, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-035,BP-3P-0007.html,line 412,"AL6061 material traceability, hardness test report, bearing specification, and RoHS compliance certificate.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"al6061 material traceability, hardness test report, bearing specification, and rohs compliance certificate.",Retain only after evidence is indexed; otherwise remove or qualify.,"Current certificate or declaration, issuer, certificate number, validity period, scope, and applicable models.","Certification details and scope are available upon request, subject to verification against current documents.",no,yes
HR-036,BP-2P-30-0001.html,audit extraction; source line not recorded,"Bearing life is rated at ≥8,000 hours under rated load.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"bearing life is rated at ≥8,000 hours under rated load.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-037,contact.html,line 233,"Begapunk engineers will check pressure, RPM, media, mounting, passage layout, and reply within 24 hours.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"begapunk engineers will check pressure, rpm, media, mounting, passage layout, and reply within 24 hours.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-038,BP-2P-95-0001.html,audit extraction; source line not recorded,Below are the machine types where this model performs best — and the conditions where you should consider a custom design.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider a custom design.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-039,BP-1P-0006.html,line 313,Below are the machine types where this model performs best — and the conditions where you should consider a multi-inlet design.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider a multi-inlet design.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-040,BP-2P-30-0001.html,audit extraction; source line not recorded,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-capacity joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-capacity joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-041,BP-3P-0004.html,line 279,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-passage or dust-proof joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-passage or dust-proof joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-042,BP-2P-130-0001.html,line 280,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or dust-proof joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or dust-proof joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-043,BP-2P-50-0001.html,audit extraction; source line not recorded,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or stainless-steel joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a higher-pressure or stainless-steel joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-044,BP-2P-16-0001.html,audit extraction; source line not recorded,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a larger-bore or higher-speed joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a larger-bore or higher-speed joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-045,BP-1P-0003.html,line 270,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-046,BP-2P-0001.html,line 280,Below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage or higher-pressure joint.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,below are the machine types where this model performs best — and the conditions where you should consider upgrading to a multi-passage or higher-pressure joint.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-047,application-robot-end-of-arm-tooling.html,audit extraction; source line not recorded,Best practice: Use a flange mount with the air ports facing away from the wrist servo.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,best practice: use a flange mount with the air ports facing away from the wrist servo.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-048,application-pneumatic-tools-hose-anti-twist.html,audit extraction; source line not recorded,"Best practice: Use a short, rigid nipple (20–30 mm) between the tool inlet and the swivel.",A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,"best practice: use a short, rigid nipple (20–30 mm) between the tool inlet and the swivel.",Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-049,application-automation-rotary-tables.html,line 105,Best when high channel counts (8+ air + 12+ electrical) are needed.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,best when high channel counts (8+ air + 12+ electrical) are needed.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-050,application-automation-rotary-tables.html,line 105,Best when space is limited and channel count is moderate.,A - absolute marketing language,Absolute marketing wording can overstate performance without bounded conditions.,1,best when space is limited and channel count is moderate.,Delete the absolute wording or replace it only after technical review.,Documented test conditions and approved technical wording.,"Use a specific, bounded statement that names the operating and test conditions.",no,yes
HR-051,BP-8P-0001.html,audit extraction; source line not recorded,Both options add 5–7 days to lead time.,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,both options add 5–7 days to lead time.,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-052,BP-2P-95-0001.html,audit extraction; source line not recorded,"Both versions have identical pressure (10 MPa), speed (200 RPM), and temperature (-20°C to +80°C) ratings.",D - product base parameter; no automatic change,Product limit values may be misread as simultaneously achievable operating points.,1,"both versions have identical pressure (10 mpa), speed (200 rpm), and temperature (-20°c to +80°c) ratings.",Do not auto-edit; reconcile with the approved model datasheet.,Approved datasheet defining maximum and continuous ratings and whether pressure and speed limits may be simultaneous.,Do not rewrite automatically. Clarify separate and simultaneous operating limits only from approved engineering data.,no,yes
HR-053,BP-4P-30-0001.html,line 472,Both versions use the same PTFE + Si3N4 ceramic seal and are 100% pressure tested before shipment.,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,both versions use the same ptfe + si3n4 ceramic seal and are 100% pressure tested before shipment.,Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-054,BP-8P-0001.html,line 471,Both versions use the same PTFE composite seal and are 100% pressure tested at 1.0 MPa for 60 seconds before shipment.,C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,both versions use the same ptfe composite seal and are 100% pressure tested at 1.0 mpa for 60 seconds before shipment.,Retain only after evidence is indexed; otherwise remove or qualify.,"Signed test report, procedure, equipment calibration record, sample size, and acceptance criteria.","Describe the verified test method and result with scope, sample size, and date.",no,yes
HR-055,application-robot-end-of-arm-tooling.html,audit extraction; source line not recorded,"Clean assembly (electronics, medical): Replace every 8–10 months regardless of visible wear",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"clean assembly (electronics, medical): replace every 8–10 months regardless of visible wear",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-056,application-automation-rotary-tables.html,audit extraction; source line not recorded,Continuous rotation (PTFE seals): Replace every 10–12 months,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,continuous rotation (ptfe seals): replace every 10–12 months,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-057,about.html,line 379,"Cumulative production exceeded 200,000 units.",C - Begapunk evidence required,"Trust-critical company, certification, or test claim requires source evidence.",1,"cumulative production exceeded 200,000 units.",Retain only after evidence is indexed; otherwise remove or qualify.,Dated ERP/shipment export and documented counting method.,Report the metric with an as-of date and a documented counting method.,no,yes
HR-058,faq.html,audit extraction; source line not recorded,Custom designs: 3 weeks production + 5–7 days shipping,B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,custom designs: 3 weeks production + 5–7 days shipping,Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","Inspection and replacement intervals depend on duty cycle, medium, filtration, temperature, pressure, and speed.",no,yes
HR-059,BP-2P-16-0001.html,audit extraction; source line not recorded,"Custom flange patterns (e.g., 3-M6 or 6-M4) are available as special orders with 5–7 day additional lead time.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"custom flange patterns (e.g., 3-m6 or 6-m4) are available as special orders with 5–7 day additional lead time.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
HR-060,BP-2P-50-0001.html,audit extraction; source line not recorded,"Custom flange patterns (e.g., 8-M5 or 4-M6) are available as special orders with 5–7 day additional lead time.",B - conditional language required,The statement may be usable only with operating conditions and evidence.,1,"custom flange patterns (e.g., 8-m5 or 4-m6) are available as special orders with 5–7 day additional lead time.",Convert to conditional language after manual approval.,"Dated test record, field record, calculation method, and operating conditions.","State this as a typical, conditional outcome and identify the operating assumptions and evidence date.",no,yes
