claim_id,page,section,before,after,reason,visible_content_updated,schema_updated,validation_status
P1B-011,BP-2P-95-0001.html,Installation or misuse example,"Within 48 hours, the seal leaks at 6 MPa.","Incorrect installation or operation outside the specified limits can cause premature leakage. Failure timing depends on alignment, medium, pressure, speed, temperature, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-015,application-automation-rotary-tables.html,Preventive replacement schedule,<li><strong>Continuous rotation (PTFE seals):</strong> Replace every 10–12 months</li>,"<li><strong>Continuous rotation (PTFE seals):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-015,application-bottle-filling-capping.html,Preventive replacement schedule,<li><strong>Food-grade PTFE seals:</strong> Replace every 10–12 months on continuous-duty lines</li>,"<li><strong>Food-grade PTFE seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-015,application-packaging-machinery.html,Preventive replacement schedule,<li><strong>PTFE seals:</strong> Replace every 10–12 months on continuous-duty lines</li>,"<li><strong>PTFE seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-016,application-automation-rotary-tables.html,Preventive replacement schedule,<li><strong>Indexing tables (FKM seals):</strong> Replace every 8–10 months on continuous-duty lines</li>,"<li><strong>Indexing tables (FKM seals):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,<li><strong>Food-grade FKM seals:</strong> Replace every 6 months (audit requirement)</li>,"<li><strong>Food-grade FKM seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-016,application-bottle-filling-capping.html,Preventive replacement schedule,<li><strong>Steam sterilization lines:</strong> Replace every 6 months regardless of visible wear (thermal fatigue)</li>,"<li><strong>Steam sterilization lines:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,<li><strong>FKM seals:</strong> Replace every 6–8 months on continuous-duty lines</li>,"<li><strong>FKM seals:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-016,application-packaging-machinery.html,Preventive replacement schedule,<li><strong>Food-grade lines:</strong> Replace every 6 months regardless of visible wear (audit requirement)</li>,"<li><strong>Food-grade lines:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-017,application-automation-rotary-tables.html,Preventive replacement schedule,"<li><strong>High-cycle lines (>200 RPM, 24/7):</strong> Replace every 6–8 months</li>","<li><strong>High-cycle lines (>200 RPM, 24/7):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,no,no,pass
P1B-017,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,"<li><strong>High-frequency line (2 shifts, 1,000+ cycles/day):</strong> Replace every 5–6 months</li>","<li><strong>High-frequency line (2 shifts, 1,000+ cycles/day):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-017,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,"<li><strong>Standard duty (8-hour shift, 30 cycles/min):</strong> Replace every 10–12 months</li>","<li><strong>Standard duty (8-hour shift, 30 cycles/min):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-017,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,"<li><strong>High-cycle lines (24/7, 60 cycles/min):</strong> Replace every 6–8 months</li>","<li><strong>High-cycle lines (24/7, 60 cycles/min):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-025,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,"<li><strong>8-hour shift, 400–600 cycles/day:</strong> Replace every 8–10 months</li>","<li><strong>8-hour shift, 400–600 cycles/day:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-039,application-robot-end-of-arm-tooling.html,Preventive replacement schedule,"<li><strong>Clean assembly (electronics, medical):</strong> Replace every 8–10 months regardless of visible wear</li>","<li><strong>Clean assembly (electronics, medical):</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-048,application-pneumatic-tools-hose-anti-twist.html,Preventive replacement schedule,"<li><strong>Maintenance or occasional use:</strong> Inspect every 12 months, replace every 18–24 months</li>","<li><strong>Maintenance or occasional use:</strong> Set the inspection and replacement interval from actual duty cycle, medium, filtration, temperature, pressure, speed, observed wear, and inspection records.</li>",Replace unsupported fixed interval with condition-based inspection guidance.,yes,no,pass
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,"Standard duty seals rated for 5,000 hours will fail in 6–8 weeks under this load.","Operating beyond the seal's approved duty conditions can accelerate wear and lead to premature leakage. Actual service life depends on the medium, pressure, speed, temperature, alignment, filtration, and duty cycle.",Remove unsupported absolute or precise claim.,yes,yes,pass
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,"Standard seals rated for 5,000 hours fail in 6–8 weeks under this load.","Operating beyond the seal's approved duty conditions can accelerate wear and lead to premature leakage. Actual service life depends on the medium, pressure, speed, temperature, alignment, filtration, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,"Standard FKM seals rated for 5,000 hours will fail in 6–8 weeks.","Operating beyond the seal's approved duty conditions can accelerate wear and lead to premature leakage. Actual service life depends on the medium, pressure, speed, temperature, alignment, filtration, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-018,application-packaging-machinery.html,Cycle-life guidance and FAQ,"Standard FKM seals rated for 5,000 hours fail in 6–8 weeks.","Operating beyond the seal's approved duty conditions can accelerate wear and lead to premature leakage. Actual service life depends on the medium, pressure, speed, temperature, alignment, filtration, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-1P-0003.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-1P-0006.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-0002.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-08-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-130-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-16-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-30-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-50-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-2P-95-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-3P-0004.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-3P-0006.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-3P-0007.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-3P-S06-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-4P-30-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-020,BP-8P-0001.html,3D file FAQ,"We do not post 3D files publicly to protect our designs, but every qualified inquiry receives the file within 24 hours.",3D files may be provided for qualified projects after the application requirements are reviewed. File availability and response time depend on the model and the project information provided.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-026,BP-2P-30-0001.html,Anti-rotation guidance,"A rigid anti-rotation bracket that clamps the body tightly will transfer vibration to the bearing, reducing bearing life from 8,000 hours to 4,000 hours.",A rigid anti-rotation arrangement that transfers vibration or side load into the housing can increase bearing load and may shorten service life.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-035,application-robot-end-of-arm-tooling.html,Compact mounting and cable management,<strong>Best practice:</strong> Use a flange mount with the air ports facing away from the wrist servo.,A flange mount with ports oriented away from the wrist servo may simplify hose routing and reduce interference. Confirm the final orientation against the robot wrist envelope and motion path.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-036,application-pneumatic-tools-hose-anti-twist.html,Tool inlet mounting position,Mount the swivel as close to the tool body as possible — within 20–30 mm of the grip.,Mount the swivel as close to the tool body as the fitting geometry and operating motion allow.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-036,application-pneumatic-tools-hose-anti-twist.html,Tool inlet mounting position,"<strong>Best practice:</strong> Use a short, rigid nipple (20–30 mm) between the tool inlet and the swivel.","Use the shortest suitable connection that avoids side load and hose interference. The required nipple length depends on the tool inlet, fitting geometry, and operating motion.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-037,application-automation-rotary-tables.html,Combined utilities,Best when high channel counts (8+ air + 12+ electrical) are needed.,An integrated pneumatic and electrical solution may be considered when the required air passages and electrical circuits exceed the capacity of a pneumatic-only rotary union.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-038,application-automation-rotary-tables.html,Combined utilities,Best when space is limited and channel count is moderate.,A compact integrated design may be suitable where installation space is limited and the required channel count fits the available configuration.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-040,BP-3P-0007.html,Product overview,Designed for compact automation and robot EOAT applications where low idle torque and zero leakage are critical.,Intended for compact automation and robot EOAT applications where low idle torque and leakage control are important.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-042,blog-rotary-joint-materials.html,Material selection summary,"<li><strong>Dry air, clean coolant, normal factory</strong> → AL6061, lowest cost, best performance</li>","<li><strong>Dry air, clean non-corrosive media, normal factory:</strong> AL6061 can be a practical body material when pressure, temperature, and corrosion requirements are within the approved limits.</li>",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-043,BP-4P-30-0001.html,Flange alignment guidance,"<strong>Eccentric mounting &gt;0.2 mm</strong> creates cyclic side load on the seal, causing leak paths within 200 hours of operation.",Excessive eccentricity can create cyclic side load on the seal and increase leakage risk. Confirm the allowable alignment tolerance for the selected model.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-044,blog-threaded-vs-flange.html,Common installation errors table,"<tr>
<td>Flange bolt sequence wrong</td>
<td>O-ring extruded on one side, dry on other</td>
<td>1–48 hours</td>
</tr>","<tr>
<td>Incorrect or uneven flange bolt tightening</td>
<td>Seal distortion and uneven sealing load</td>
<td>Premature leakage risk; timing depends on operating conditions</td>
</tr>",Remove unsupported absolute or precise claim.,no,no,pass
P1B-045,application-pneumatic-tools-hose-anti-twist.html,Handheld tool weight FAQ,"For handheld tools used 8 hours per shift, the swivel should weigh under 0.15 kg to minimize operator fatigue and repetitive strain.","For handheld tools, lower swivel mass can help reduce operator fatigue, but acceptable weight depends on tool balance, hose routing, task duration, and ergonomic assessment.",Remove unsupported absolute or precise claim.,yes,yes,pass
P1B-050,application-packaging-machinery.html,Application fit,Packaging machinery runs at 60–200 RPM for 16–24 hours per shift.,"Packaging machinery duty cycles vary widely. Confirm the actual continuous and intermittent speed, operating hours, and stop-start profile before selecting a rotary union.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-054,BP-2P-95-0001.html,Filtration guidance,The cost of a $40 filter element is negligible compared to a $200 seal kit and 4 hours of downtime.,Appropriate filtration can reduce contamination-related seal wear and help avoid unplanned maintenance. Actual cost impact depends on the application.,Remove unsupported absolute or precise claim.,yes,no,pass
P1B-055,BP-3P-0004.html,Leakage consequence example,The oil contaminates the work area and the machine stops for 4 hours.,"Oil leakage can contaminate the work area and cause unplanned downtime. The actual impact depends on the machine layout, leak rate, and maintenance response.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-056,BP-3P-0004.html,Over-pressure example,"The PTFE seal extrudes under the over-pressure within 72 hours, causing catastrophic leakage across all three passages.","Over-pressure can damage or extrude the seal and may cause cross-port or external leakage. Failure timing depends on the actual pressure, medium, temperature, speed, and duty cycle.",Remove unsupported absolute or precise claim.,yes,no,pass
P1B-058,blog-rotary-union-seal-types.html,Seal selection conclusion,"The right seal makes the joint disappear into the background of the machine — reliable, quiet, and maintenance-free for years.","An appropriate seal design can support reliable, quiet operation and reduce routine maintenance when used within the specified operating limits.",Remove unsupported absolute or precise claim.,yes,no,pass
