page,exact_claim,claim_type,risk_level,why_evidence_is_needed,suggested_evidence,action,manual_verification
application-automation-rotary-tables.html,Bore: 6–16 mm depending on flow demand and station count,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Clamping: 1 channel (clamp air, 0.3–0.6 MPa)",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Unclamping: 1 channel (release air, 0.2–0.4 MPa)",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Vacuum pickup: 1 channel (-0.04 to -0.08 MPa, dedicated vacuum seal)",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Blow-off: 1 channel (0.2–0.3 MPa, often pulsed)",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Sensor air: 1 channel (0.1–0.2 MPa for position verification),technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Adding a spare passage now is cheaper than replacing the entire joint in 18 months when the customer adds a new gripper or sensor.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Indexing tables (stop-start, 60–120 RPM): FKM seals are acceptable.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Typical seal life: 6–10 months continuous duty.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Continuous rotation (100–500 RPM): PTFE composite seals are mandatory.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,FKM overheats and hardens within 2–3 weeks under continuous friction.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Best when space is limited and channel count is moderate.,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Best when high channel counts (8+ air + 12+ electrical) are needed.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,A 30 mm bore rotary joint plus a 25 mm slip ring needs 60+ mm total radial space.,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Small indexing table (4–6 stations) Clamp, release, blow-off 2–3 passages, compact body, easy mounting, FKM seals acceptable BP-2P-0001 or BP-3P-0004",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Multi-station carousel (8–16 stations) Several independent air lines 4–8 passages, low leakage, flange mount, anti-rotation support BP-4P-30-0001 or BP-8P-0001",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"High-speed continuous rotary Continuous clamping and actuation PTFE seals, 100–500 RPM rated, low friction torque BP-2P-95-0001 (PTFE standard) or custom high-speed layout",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"When the customer adds a sensor or a new gripper 12 months later, the entire rotary joint must be replaced — disassembling the table, re-routing hoses, and re-commissioning the machine.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,FKM (fluoroelastomer) seals are rated for < 200 RPM and work well on indexing tables with dwell periods.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"But on continuous-rotation stations at 300–500 RPM, FKM overheats and hardens within 2–3 weeks.",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Rule: Specify PTFE composite seals for any station above 200 RPM or with continuous rotation.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Engineers specify a 40 mm bore rotary joint and a 35 mm slip ring, then discover they need 80 mm radial clearance — but the table hub only has 60 mm.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,The result: a last-minute custom design that delays delivery by 4–6 weeks.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Through-bore options (e.g., 30 mm bore on BP-4P-30-0001 ) allow wiring, shafts, or coolant lines to pass through the center — keeping the machine envelope clean and organized.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,But it must allow ±2 mm radial float for self-alignment.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Indexing tables (FKM seals): Replace every 8–10 months on continuous-duty lines,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Continuous rotation (PTFE seals): Replace every 10–12 months,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"High-cycle lines (>200 RPM, 24/7): Replace every 6–8 months",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,Adding a spare passage now is cheaper than replacing the entire joint in 18 months.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"When the customer adds a sensor or a new gripper 12 months later, the entire rotary joint must be replaced.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-automation-rotary-tables.html,"Another common error is using FKM seals on continuous-rotation stations above 200 RPM, causing overheating and seal hardening within weeks.",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"And it must be replaceable in under 10 minutes because a filling line stoppage costs $5,000–$15,000 per hour.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,The most frequent challenge is not pressure or RPM — it is finding a compact layout that fits inside a 60–80 mm diameter carousel hub while handling 2–4 independent air functions.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Washdown chemicals corrode AL6061 and degrade FKM seals in 3–6 months — specify 316SS + FDA PTFE for food lines,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Capping torque actuators need 6–10 mm bore; 3 mm bore cannot deliver consistent airflow for torque control,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"A filling line stoppage costs $5,000–$15,000/hour — design for < 10 minute joint replacement",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Steam sterilization (>120°C) destroys standard seals; specify high-temp PTFE or specialized composites,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Plan seal replacement every 6 months for food-grade lines regardless of visible wear (audit requirement),certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Pressure: 0.4–0.6 MPa (capping torque) / 0.2–0.4 MPa (gripper) / -0.04 to -0.08 MPa (vacuum hold-down),technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Bore: 6–10 mm for capping torque actuators; 4–6 mm for gripper circuits,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Capping torque actuator: 0.4–0.6 MPa, needs stable pressure for repeatable torque",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Bottle gripper (clamp/unclamp): 0.2–0.4 MPa, 2 channels minimum",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Vacuum hold-down: -0.04 to -0.08 MPa, dedicated vacuum-rated seal",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Blow-off cleaning: 0.2–0.3 MPa, pulsed air — specify pulse-rated seal",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Steam sterilization (pharmaceutical): 316SS + high-temp PTFE or specialized composite seals rated for >120°C,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Design the rotary joint mounting for replacement in under 10 minutes:,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Capping head Torque support and pneumatic actuation Compact body, stable pressure, 6–10 mm bore BP-1P-0003 or BP-2P-0001 compact",technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Chlorine-based cleaning agents corrode aluminum within 3–6 months.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,A 3 mm bore restricts airflow to ~15 L/min at 0.5 MPa.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Rule: Specify 6–10 mm bore for capping torque circuits.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,A 3 mm bore is only acceptable for small gripper circuits with low air demand.,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Standard PTFE seals are rated for -20°C to +120°C.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Steam sterilization cycles at 121°C for 15–30 minutes exceed this limit.,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Rule: For steam sterilization applications, specify high-temperature PTFE composites or specialized seals rated for >150°C.",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Design the rotary joint for replacement in under 10 minutes:,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Food-grade FKM seals: Replace every 6 months (audit requirement),certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Food-grade PTFE seals: Replace every 10–12 months on continuous-duty lines,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Steam sterilization lines: Replace every 6 months regardless of visible wear (thermal fatigue),certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Stable pressure (0.2–0.6 MPa), clean air path, compact size for tight carousel envelopes, corrosion-resistant material (304/316 stainless steel or anodized AL6061), and easy maintenance access for fast seal replacement during line stoppages.",certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,"Washdown chemicals (chlorine, caustic soda) corrode aluminum and degrade FKM within 3–6 months.",business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-bottle-filling-capping.html,Another common error is undersizing the bore for capping torque actuators — a 3 mm bore cannot deliver enough airflow for consistent torque control.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-cnc-pneumatic-clamping.html,Pressure: 0.4–0.8 MPa (clamping) — derate 30% for continuous machining duty,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-cnc-pneumatic-clamping.html,Bore: 6–10 mm for standard clamps; 16–30 mm for large fixture plates,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-electronics-battery-test-fixtures.html,Pressure: 0.2–0.5 MPa (vacuum/gripper) — low-pressure precision control,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-electronics-battery-test-fixtures.html,Bore: 3–6 mm for small grippers; 6–10 mm for larger actuators,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Getting the specification right before production saves 3–6 weeks of rework.,business_metric,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Assist gas requires 6–10 mm minimum bore; 3 mm is only acceptable for small clamp circuits,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Derate pressure 30% for continuous duty: a 1.0 MPa joint should run at 0.7 MPa max (ISO 4414),certification,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,FKM seals overheat above 200 RPM; specify PTFE for continuous rotating cutting heads,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Pressure: 0.4–0.8 MPa (assist gas) / 0.2–0.5 MPa (clamping) — derate 30% for continuous duty,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Bore: 6–10 mm typical for laser assist gas; 3 mm acceptable for small clamp circuits only,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Reference: ISO 4414:2010 recommends that maximum working pressure in pneumatic systems should not exceed 80% of the component rated pressure for continuous duty.,certification,high,企业规模、认证或绝对性能陈述会直接影响采购信任,证书、出货记录、客户/国家统计口径、测试报告,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,"Cutting head rotation Assist gas and blow-off Clean flow path, low leakage, 6–10 mm bore Custom multi-passage air rotary union",technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,"Coolant support Cutting fluid or mist Water-compatible seals, stainless steel body BP-2P-130-0001 (SS body, 5 MPa rated)",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,A 3 mm bore restricts nitrogen flow to ~15 L/min at 0.6 MPa.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Rule: Specify 6–10 mm bore for assist gas; 3 mm is only for small clamp circuits.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,FKM (fluoroelastomer) seals are rated for < 200 RPM.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,A continuous rotating cutting head at 300–500 RPM generates enough heat to harden FKM within 2–3 weeks.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Rule: Specify PTFE composite seals for any joint above 200 RPM.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,The anti-rotation tab must allow ±2 mm radial float for self-alignment.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Contaminants larger than the 0.02–0.05 mm seal gap embed in the PTFE and score the shaft.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Always run the joint at 0.2 MPa and 50 RPM for 5 minutes before applying full assist gas pressure.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Assist gas lines typically run at 0.4–0.8 MPa (4–8 bar).,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Pneumatic clamping runs at 0.2–0.5 MPa.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,"For continuous duty, derate the rated pressure by 30% per ISO 4414 guidelines.",certification,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,RPM ranges from 60–300 for indexing chucks to 100–500 RPM for continuous rotating cutting heads.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,A 3 mm bore restricts nitrogen flow to ~15 L/min at 0.6 MPa — insufficient for most fiber laser cutting.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,Laser assist gas requires 6–10 mm minimum bore.,technical_parameter,medium,带数字的商业或技术陈述需要可追溯依据,内部记录、规格书或带日期的统计说明,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-laser-tube-cutting.html,"Another common error is using FKM seals above 200 RPM, which causes overheating and hardening within weeks.",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-packaging-machinery.html,Packaging machinery runs at 60–200 RPM for 16–24 hours per shift.,technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
application-packaging-machinery.html,"A rotary joint on a rotary sealing head or indexing table rotates 172,800 times per day at 120 RPM continuous duty.",technical_parameter,medium,工程参数需要型号、测试条件和最大/连续值定义,规格书、图纸、试验条件和批准人,保留前先建立证据索引；无法证明时弱化并说明口径,需要人工验证
